"title","artist","albumTitle","bpm","key","comment","year","location"
"Love Is The Drug - Todd Terje Disco Dub","Roxy Music,Terje Olsen","Love Is The Drug - Avalon","0","","","2012","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/01 Love Is The Drug - Todd Terje Disco Dub.mp3"
"Pop Muzik (12 Inch Version)","M,Nick Launay","New York, London, Paris, Munich","0","","","1979","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/01 Pop Muzik (12 Inch Version).mp3"
"You Could Be More As You Are","Saâda Bonaire","Saâda Bonaire","0","","","2013","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/01 You Could Be More As You Are.mp3"
"Avalon - Lindstrøm & Prins Thomas Version","Roxy Music,Lindstrøm & Prins Thomas","Love Is The Drug - Avalon","68.349228","11M","","2012","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/02 Avalon - Lindstrøm & Prins Thomas Version.mp3"
"Can You Feel It - Instrumental","Larry Heard","Can You Feel It","0","","","1986","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/02 Can You Feel It - Instrumental.mp3"
"Hippychick","Soho","Goddess","0","","","1991","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/02 Hippychick.mp3"
"How Do You See Me Now","Zdar","Don't U Want","0","","","2005","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/02 How Do You See Me Now.mp3"
"Love to Love You Baby - Tom Novy & Pufo Remix","Tom Tom Club,Tom Novy & Pufo","Love to Love You Baby","97.92453","10M","","2000","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/02 Love to Love You Baby - Tom Novy & Pufo Remix.mp3"
"Strawberry Fields Forever","Candy flip","Madstock...","91.274178","4D","","1990","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/02 Strawberry Fields Forever.mp3"
"Too Shy","Kajagoogoo","White Feathers","107.977074","8M","","1983","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/02 Too Shy.mp3"
"How Do I Love Thee","Dream 2 Science","Dream 2 Science EP","120.979935","2D","","2012","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/04 How Do I Love Thee.mp3"
"Magic Carpet Ride","Mighty Dub Katz","Magic Carpet Ride","128.696625","4M","","2007","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/05 Magic Carpet Ride.mp3"
"Slyd","!!!","Thr!!!er","119.999741","2M","","2013","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/05 Slyd.mp3"
"Distant Solution - 2010","Yello","Yello 40 Years","80.994781","2M","","2021","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/08 Distant Solution - 2010.mp3"
"This Must Be the Place (Naive Melody) - 2005 Remaster","Talking Heads","Speaking in Tongues (Deluxe Version)","114.390152","2D","","1983","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/09 This Must Be the Place (Naive Melody) - 2005 Remaster.mp3"
"White Horse","Laid Back","Bustin' Out 1983- New Wave To New Beat Volume 3","122.918694","1M","","2010","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/09 White Horse.mp3"
"Was That All It Was - 12' Version","Jean Carn","The Essential Jean Carn - The PIR Years","114.97818","11M","","2019","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/10 Was That All It Was - 12' Version.mp3"
"Jupiter Jazz","Galaxy 2 Galaxy","Galaxy 2 Galaxy- A High Tech Jazz Compilation","124.734085","1D","","2005","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/11 Jupiter Jazz.mp3"
"Why (feat. Nomi Ruiz)","Honey Dijon,Tim K,Nomi Ruiz","The Best Of Both Worlds","94.999596","12M","","2017","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/11 Why (feat Nomi Ruiz).mp3"
"Silly Games","Janet Kay","The Definitive Hits Collection (1977-1985)","121.182053","12D","","2011","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/18 Silly Games.mp3"
"You'll Never Need Somebody","Janice Walker","Soul Jazz Records Presents Fashion Records- Style & Fashion","92.120628","3D","","2019","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/18 You'll Never Need Somebody.mp3"
"Don't Let It Go","Bad Barbie,Evil Smarty","Midnight Riot, Vol. 9","95.000076","4M","","2015","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/31 Don't Let It Go.mp3"
"Turkish Dumbek Music (Belly Dance)","Drums Of The World","World Drums- African, Samba, Taiko, Chinese And Middle Eastern Music","122","4M","Traditional Turkish; intricate dumbek percussion; Middle Eastern folk; used in belly dance; dynamic tempos.","2008","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/44 Turkish Dumbek Music (Belly Dance).mp3"
"Total Eclipse of the Heart","Bonnie Tyler","The Very Best of Bonnie Tyler","64.352623","9D","","2009","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/48 Total Eclipse of the Heart.mp3"
"Body Nature","Paula Tape","Body Nature","118.99987","5D","","2021","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Mel n Kim 80s dance gold/01 Body Nature.mp3"
"Deadly Valentine (Soulwax Remix)","Charlotte Gainsbourg,Soulwax","Deadly Valentine (Soulwax Remix)","104.9842","4M","","2017","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Mel n Kim 80s dance gold/01 Deadly Valentine (Soulwax Remix).mp3"
"The Space Between","Roxy Music","Avalon","113.152451","8M","","1982","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Mel n Kim 80s dance gold/02 The Space Between.mp3"
"You Are In My System","Robert Palmer","Pride","110.873558","8M","","1983","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Mel n Kim 80s dance gold/05 You Are In My System.mp3"
"Big Time","Peter Gabriel","So (Remastered)","116.229492","6M","","1986","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Mel n Kim 80s dance gold/06 Big Time.mp3"
"Oud Ou Ray","Sultan Shakes","Covered In Gloria","120","5D","World-electronic fusion; Middle Eastern oud with funky disco groove; global dance vibes.","2017","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Mel n Kim 80s dance gold/12 Oud Ou Ray.mp3"
"Showing Out (Get Fresh At The Weekend) - Extended Version","Mel & Kim","F.L.M.","120.026695","1M","","1987","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Mel n Kim 80s dance gold/12 Showing Out (Get Fresh At The Weekend) - Extended Version.mp3"
"Respectable - Extended Version","Mel & Kim","F.L.M.","122.421509","12D","","1987","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Mel n Kim 80s dance gold/13 Respectable - Extended Version.mp3"
"F.L.M. - 12' Version","Mel & Kim","F.L.M.","122","11M","80s dance-pop; house-inflected; catchy hooks; extended remix; upbeat and carefree vibe.","1987","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Mel n Kim 80s dance gold/14 FLM - 12' Version.mp3"
"That's The Way It Is - Acid House Remix","Mel & Kim","F.L.M.","118.15168","12M","","1987","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Mel n Kim 80s dance gold/21 That's The Way It Is - Acid House Remix.mp3"
